location,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva
lat,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217
lon,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116
asl,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Gust
unit,°C,%,hPa,mm,cm,%,%,%,%,min,W/m²,km/h,°,km/h,°,km/h,°,km/h
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,10 m,10 m,80 m,80 m,900 mb,900 mb,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Gust
20200316T0000,7.343722,80.0,1017.5,0.0,0.0,27.0,21.0,27.0,0.0,0.0,0.0,5.466071,226.97495,15.408671,232.59465,34.98674,220.40945,14.04
20200316T0100,6.583722,80.0,1017.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.802594,213.69006,15.021105,224.02899,22.218153,206.98022,9.72
20200316T0200,6.413722,77.0,1018.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7105224,201.0375,13.746156,225.0,16.23596,176.18593,17.28
20200316T0300,5.833722,80.0,1019.4,0.0,0.0,5.1000004,17.0,0.0,0.0,0.0,0.0,0.84243083,288.43494,6.489992,266.8202,13.896187,163.44293,5.3999996
20200316T0400,5.223722,86.0,1019.0,0.0,0.0,16.0,26.0,16.0,0.0,0.0,0.0,3.3697233,18.434952,6.130579,356.63354,9.83268,156.2505,4.32
20200316T0500,5.313722,89.0,1018.8,0.0,0.0,6.0,20.0,2.0,0.0,0.0,0.0,4.066419,31.607498,6.489992,19.440033,5.1919937,146.30994,5.7599998
20200316T0600,5.433722,88.0,1019.5,0.0,0.0,3.3000002,11.0,0.0,0.0,0.0,0.0,3.5840454,41.987198,6.4096174,38.157227,4.0249224,100.30484,6.8399997
20200316T0700,5.203722,88.0,1020.4,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,3.3907182,44.999985,7.145796,40.914368,6.12,89.99999,4.68
20200316T0800,4.973722,88.0,1020.6,0.0,0.0,2.4,8.0,0.0,0.0,16.111206,0.89,1.4346079,21.801407,6.297428,30.963745,4.3349743,94.76365,4.68
20200316T0900,5.343722,86.0,1021.0,0.0,0.0,4.5,15.0,0.0,0.0,57.12766,113.03,0.0,180.0,5.0911684,44.999985,3.2599385,83.65981,5.3999996
20200316T1000,7.493722,74.0,1022.4,0.0,0.0,3.6000001,12.0,0.0,0.0,57.70213,284.8,2.260479,44.999985,3.0547013,44.999985,4.39436,34.99202,5.7599998
20200316T1100,9.1837225,60.0,1022.3,0.0,0.0,3.3000002,11.0,0.0,0.0,57.89362,436.99,2.8815567,33.690063,4.198285,30.963745,7.289444,20.224854,5.04
20200316T1200,10.643723,55.0,1022.3,0.0,0.0,3.9,13.0,0.0,0.0,57.510635,557.14,3.9333487,28.30075,6.12,28.07248,8.707238,352.875,6.4799995
20200316T1300,12.013722,46.0,1021.9,0.0,0.0,4.5,15.0,0.0,0.0,57.12766,639.02,4.520958,44.999985,6.9153743,38.659805,12.429127,280.008,6.12
20200316T1400,13.493722,49.0,1020.9,0.0,0.0,8.700001,29.0,1.0,0.0,54.44681,671.06,6.287266,36.38434,10.009036,37.69423,2.9024127,262.875,6.8399997
