location,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva
lat,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217
lon,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116
asl,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Evapotranspiration,FAO Reference Evapotranspiration,CAPE,Wind Gust,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Geopotential Height,Temperature,Temperature,Temperature,Temperature,Soil Temperature,Soil Moisture,Vapor Pressure Deficit
unit,°C,%,hPa,mm,cm,%,%,%,%,min,W/m²,W/m²,W/m²,mm,mm,J/kg,km/h,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,Gpm,°C,°C,°C,°C,°C,m³/m³,hPa
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,sfc,sfc,2 m,180-0 mb above gnd,sfc,10 m,10 m,80 m,80 m,900 mb,900 mb,850 mb,850 mb,700 mb,700 mb,500 mb,500 mb,1000 mb,1000 mb,850 mb,700 mb,sfc,0-10 cm down,0-10 cm down,2 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Direct Shortwave Radiation,Geneva Diffuse Shortwave Radiation,Geneva Evapotranspiration,Geneva FAO Reference Evapotranspiration [2 m],Geneva CAPE [180-0 mb above gnd],Geneva Wind Gust,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Speed [850 mb],Geneva Wind Direction [850 mb],Geneva Wind Speed [700 mb],Geneva Wind Direction [700 mb],Geneva Wind Speed [500 mb],Geneva Wind Direction [500 mb],Geneva Geopotential Height [1000 mb],Geneva Temperature [1000 mb],Geneva Temperature [850 mb],Geneva Temperature [700 mb],Geneva Temperature,Geneva Soil Temperature [0-10 cm down],Geneva Soil Moisture [0-10 cm down],Geneva Vapor Pressure Deficit [2 m]
20200817T0000,21.143723,81.0,1012.0,1.0,0.0,88.0,100.0,88.0,83.0,0.0,0.0,0.0,0.0,0.02448,0.0,1086.0,5.7599998,3.5840454,221.98721,7.8954163,245.77226,8.905908,255.96376,8.891343,238.24052,36.43655,217.77568,50.153828,225.87247,101.0,24.07,13.03,2.9,21.02,21.670013,0.26,4.805002
20200817T0100,20.443722,83.0,1011.9,0.7,0.0,100.0,28.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0216,0.0026144679,966.0,8.64,5.2339296,255.25644,11.91812,295.0169,4.1046314,254.74487,10.464797,220.8151,33.851486,212.84506,48.117607,224.09062,101.0,23.08,12.77,2.87,20.38,21.110016,0.266,4.1180477
20200817T0200,20.153723,82.0,1012.2,1.1,0.0,100.0,100.0,100.0,89.0,0.0,0.0,0.0,0.0,0.02736,0.0018376973,633.0,10.799999,4.765508,243.43495,10.144082,297.47443,3.0758414,249.44395,16.418526,217.87498,37.705597,222.67847,47.23551,217.5686,104.0,22.81,12.45,2.57,19.95,20.600006,0.276,4.2829304
20200817T0300,19.263721,88.0,1012.6,1.1,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.03312,0.00028288164,860.0,10.440001,6.287266,233.61565,12.43434,247.89056,3.6,270.0,16.135872,218.65982,34.897724,227.09016,53.27635,221.98721,107.0,21.98,12.01,2.42,19.35,20.130005,0.286,2.7019596
20200817T0400,18.243723,91.0,1012.3,2.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.03168,0.00058563444,440.0,14.759999,8.710098,246.57132,13.708391,246.8014,12.979984,303.69006,12.303366,249.44395,30.555498,235.561,47.45586,217.91312,104.0,20.13,11.93,2.52,18.57,19.619995,0.302,1.9013596
20200817T0500,17.823723,90.0,1012.6,1.8,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.036,0.0,301.0,11.159999,6.080693,208.81079,5.1165614,219.28941,14.021525,311.87787,16.919998,270.0,27.210379,252.28421,46.102493,218.65982,107.0,19.68,11.25,1.93,18.12,19.080017,0.312,2.0576115
