LAT;;;;;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437;46.1437
LON;;;;;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282;6.04282
ASL;;;;;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000;453.000
CITY;;;;;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral;Soral
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Total Precipitation (low resolution);Snowfall Amount (high resolution);Snowfall Amount (low resolution);Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;mm;cm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2020;02;24;00;00;10.13;65.00;1030.90;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;-999.00;0.00;11.44;241.82;19.83;266.88;23.89;276.05;15.48
2020;02;24;01;00;9.71;71.00;1031.40;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;13.75;225.00;22.26;247.17;16.70;277.43;15.84
2020;02;24;02;00;9.61;73.00;1031.50;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;15.63;218.45;23.23;229.40;13.36;284.04;18.36
2020;02;24;03;00;8.47;77.00;1029.90;0.00;0.00;0.00;0.00;3.00;0.00;0.00;3.00;0.00;0.00;15.91;217.65;25.48;227.29;16.66;263.80;16.56
2020;02;24;04;00;9.61;71.00;1029.30;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;15.38;212.57;24.01;220.14;25.92;242.72;20.16
2020;02;24;05;00;7.85;76.00;1029.90;0.00;0.00;0.00;0.00;4.00;12.00;0.00;4.00;0.00;0.00;13.40;210.70;21.67;221.63;22.07;208.24;17.64
2020;02;24;06;00;7.51;76.00;1029.80;0.00;0.00;0.00;0.00;25.00;9.00;0.00;25.00;0.00;0.00;11.79;211.26;19.86;226.47;24.70;210.68;16.92
2020;02;24;07;00;7.74;78.00;1029.40;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;13.20;205.87;21.87;212.91;25.38;211.66;19.08
