LAT;;;;;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022
LON;;;;;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569
ASL;;;;;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000
CITY;;;;;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Total Precipitation (low resolution);Snowfall Amount (high resolution);Snowfall Amount (low resolution);Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;mm;cm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;12;16;00;00;7.06;62.00;1011.60;0.00;0.00;0.00;0.00;30.00;100.00;4.00;0.00;-999.00;0.00;6.92;207.90;10.97;228.99;47.15;222.21;16.56
2019;12;16;01;00;6.70;65.00;1011.10;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;6.88;222.88;11.12;240.95;46.33;225.00;16.56
2019;12;16;02;00;6.25;70.00;1011.50;0.00;0.00;0.00;0.00;39.00;57.00;39.00;0.00;0.00;0.00;6.41;231.84;12.30;249.44;38.81;220.49;21.96
2019;12;16;03;00;5.81;70.00;1012.00;0.00;0.00;0.00;0.00;19.80;66.00;9.00;0.00;0.00;0.00;5.32;208.30;8.89;238.24;29.48;208.44;15.12
2019;12;16;04;00;5.61;69.00;1010.80;0.00;0.00;0.00;0.00;13.00;36.00;13.00;0.00;0.00;0.00;5.60;225.00;8.21;254.74;20.06;201.04;11.16
2019;12;16;05;00;5.64;64.00;1010.10;0.00;0.00;0.00;0.00;3.00;10.00;0.00;0.00;0.00;0.00;3.32;229.40;5.04;270.00;14.80;198.43;4.32
2019;12;16;06;00;5.67;63.00;1010.20;0.00;0.00;0.00;0.00;4.00;10.00;4.00;0.00;0.00;0.00;2.28;251.57;3.42;288.43;11.62;196.19;2.16
2019;12;16;07;00;5.62;66.00;1009.40;0.00;0.00;0.00;0.00;37.00;62.00;37.00;0.00;0.00;0.00;1.02;315.00;1.80;360.00;11.09;193.13;1.44
2019;12;16;08;00;5.64;72.00;1009.50;0.00;0.00;0.00;0.00;99.00;100.00;99.00;0.00;0.00;0.00;2.60;326.31;2.62;344.05;13.80;195.12;2.16
2019;12;16;09;00;5.57;79.00;1009.30;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;3.10;324.46;2.62;344.05;18.20;204.54;2.88
2019;12;16;10;00;6.09;78.00;1008.60;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;27.59;3.83;318.81;2.81;320.19;20.33;202.93;1.80
2019;12;16;11;00;6.89;75.00;1009.40;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;135.28;4.39;304.99;4.02;296.57;25.77;208.35;5.04
2019;12;16;12;00;8.10;69.00;1009.40;0.00;0.00;0.00;0.00;95.00;100.00;95.00;0.00;0.00;226.95;3.55;293.96;3.71;299.05;31.58;208.61;11.16
2019;12;16;13;00;9.10;67.00;1007.60;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;267.89;3.76;286.70;3.40;302.01;34.46;212.20;16.92
